RESPONDENT_ID,LANGUAGE_CODE,SURVEY_TYPE,Q01. In what country were you born?,Q02. In what year were you born?,Q03. In what year did you move to the United States?,Q04. In what ZIP code do you live?,Q05. What is your preferred language?,Q06. How well would you say you speak English?,Q07-Verbatim. What is the most important issue facing your immigrant and refugee community that you think our public officials should address?,Q07_CODE1. What is the most important issue facing your immigrant and refugee community that you think our public officials should address?-1,Q07_CODE2. What is the most important issue facing your immigrant and refugee community that you think our public officials should address? -2,Q07_CODE3. What is the most important issue facing your immigrant and refugee community that you think our public officials should address? -3,"Q08. Overall, how much of a difference do you think you can have in making your neighborhood a better place to live?",Q09. How interested are you in the presidential election this year?,"Q10_01. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 1","Q10_02. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 2","Q10_03. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 3","Q10_04. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 4","Q10_05. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 5","Q10_06. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 6","Q10_07. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 7","Q10_08. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 8","Q10_09. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 9","Q10_10. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 10","Q10_11. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 11","Q10_12. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 12","Q10_13. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 13","Q13_OTHER. Other: (If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use? )",Q11. How easy is it to find information about elections and candidates in your preferred language?,Q12_01. Please tell us if you have done any of the following activities in the past 2 years. - 1,Q12_02. Please tell us if you have done any of the following activities in the past 2 years. - 2,Q12_03. Please tell us if you have done any of the following activities in the past 2 years. - 3,Q12_04. Please tell us if you have done any of the following activities in the past 2 years. - 4,Q12_05. Please tell us if you have done any of the following activities in the past 2 years. - 5,Q12_06. Please tell us if you have done any of the following activities in the past 2 years. - 6,Q12_07. Please tell us if you have done any of the following activities in the past 2 years. - 7,Q12_08. Please tell us if you have done any of the following activities in the past 2 years. - 8,Q12_09. Please tell us if you have done any of the following activities in the past 2 years. - 9,"Q13. Some people are registered to vote, while others are not. Which of the following best describes you?","Q13_OTHER. Other: (Some people are registered to vote, while others are not. Which of the following best describes you?)","Q14. If you are eligible (U.S. citizen over the age of 18), but have not yet registered to vote, what is the main reason why you have not registered to vote?","Q14_OTHER. Other: (If you are eligible (U.S. citizen over the age of 18), but have not yet registered to vote, what is the main reason why you have not registered to vote? )",Q15. Did you vote in the Presidential Election last November 2012?,"Q16. If you did not vote in the 2012 Presidential Election, what was the main reason for not voting in that election?","Q16_OTHER. Other: (If you did not vote in the 2012 Presidential Election, what was the main reason for not voting in that election?)",Q17. How likely is it that you will vote in the presidential election this November 2016?,Q18. How often have you voted in state and local elections?,"Q19. Have you ever been contacted and encouraged to vote by a candidate, political party, or other organization?",Q20. What is the highest level of education that you have completed?,Q21. Do you and your family own the place where you are living now or do you rent?,Q21_OTHER. Other: (Do you and your family own the place where you are living now or do you rent?),Q22. How many people (adults and children) currently live in your household?,Q23. Please select your gender:,Q23_OTHER. Other: (Please select your gender:),Q24. What was your total combined household income in 2015 before taxes?,"Q25. When it comes to getting around the city, which of these statements best describes your situation?","Q25_OTHER. Other: (When it comes to getting around the city, which of these statements best describes your situation?)",Q26. How did you hear about Seattle Votes?
2265,Tigrigna,PAPER,Eritirea,1994,2013,98112,Tigrigna,Very well,"""Free education, less money for rent""",Affordable housing/Low income housing, Education/General educational resources, ,I can make a moderate difference,I am not interested,Internet,Television in English, , , , , , , , , , , , ,Somewhat easy,"I contacted a public official through a letter, email, phone, or in-person", , , , , , , , ,I am eligible to register but have not registered yet, , , ,No, , ,Not likely at all,Never, ,Some high school,We live with relatives or friends, ,9,Female, ,I don't know, , ,Ailaf Ali
2266,English,WEB,Guatemala,1964,1991,98112,Spanish,Well,representation, Lack of representation/Leadership in community/Ability to vote, , ,I can make a moderate difference,I am very interested,Television in English, , , , , , , , , , , , , ,It is difficult,I have signed a letter about a social or political issue, , , , , , , , ,I am not currently eligible to register to vote, , , ,No,I was not registered, ,Somewhat likely,Never,Yes,Some high school,We rent our home, ,6,Female, ,I don't know,I usually drive a car that I borrow, ,Friend or Family member shared survey link
2267,English,WEB,Peru,1982,1990,98112,Spanish,Not well,mental health, Mental health services/Trauma healing, , ,I can make a moderate difference,I am somewhat interested,Radio in English, , , , , , , , , , , , , ,I have not found any, , , , , , , , , ,I am registered to vote, , , ,No,Not in the US at that time,out of the country,Somewhat likely,Sometimes,No,Some college,We rent our home, ,6,Female, ,"$24,301 to $40,890","I own a car, but I usually take public transportation", ,Friend or Family member shared survey link
2268,English,WEB,Laos,1972,1974,98112,English,Very well,Mental Health/Social support issues. Immigrant and refugees need support messaged in a way they can actually receive that will inspire and empower them to tackle the sometimes overwhelming US society., Mental health services/Trauma healing, , ,I can make a big difference,I am very interested,Internet, , , , , , , , , , , , , ,Very easy,I have signed a letter about a social or political issue, , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely,Often,No,College degree,We rent our home, ,5,Female, ,"More than $150,000","I own a car, but I usually take public transportation", ,Other
2269,English,WEB,Thailand,1977,1980,98112,English,Very well,Communication and Cost, Communication (General), , ,I can make no difference at all,I am very interested,Internet,Friends and family,Television in English,Ethnic newspapers,Newspapers in English,Ethinic radio,Radio in English,Library, , , , , , ,Very easy, , , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely,Often,No,Some college,We rent our home, ,1,Male, ,"$40,891 to $64,999",I usually walk,"car sometimes, but mostly walk", 
2270,English,WEB,Venezuela,1987,1990,98112,Spanish,Very well,work permits,Jobs/Job search/More jobs available, , ,I can make a moderate difference,I am very interested,Internet,Ethnic Television,Friends and family, , , , , , , , , , , ,Somewhat easy,I have signed a letter about a social or political issue,"I participated in one or more demonstrations, protests, marches, or rallies", , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely,Often,Yes,Graduate or professional degree,We own our home, ,4,Female, ,"$100,000 to $150,000",I usually drive the car that I own, ,Friend or Family member shared survey link
2271,English,WEB,Colombia,1990,2015,98112,Spanish,Well,Not taxes for poor people, Don’t know, , ,I can make no difference at all,I am somewhat interested,Internet,Television in English,Newspapers in English,Radio in English, , , , , , , , , , ,Somewhat easy, , , , , , , , , ,I am not currently eligible to register to vote, , , ,No,I was not interested in the election, ,Not likely at all,Never,No,Some college,We live with relatives or friends, ,5,Female, ,I don't know,I usually walk, ,School/College
2272,English,WEB,Argentina,1992,2015,98112,Spanish,Well,Taxes, Other, , ,I can make no difference at all,I am somewhat interested,Internet,Television in English,Newspapers in English,Radio in English, , , , , , , , , ,Social networks,Very easy, , , , , , , , , ,I am not currently eligible to register to vote, , , ,No,Not in the US at that time,I was not here,I don't know,Never,No,Graduate or professional degree,We live with relatives or friends, ,3,Female, ,I don't know,"I don't own a car, so I take public transportation", ,School/College
2273,English,WEB,Mexico,1972,1998,98112,Spanish,Very well,"Finding a way to legalize the status of the immigrant community (so that people can have access to better jobs, better salaries and reunite their families)",Difficulty in legal residence/Greencard issue/Obtaining citizenship/Immigration, , ,I can make a moderate difference,I am very interested,Internet,Ethnic Television,Friends and family,Television in English,Newspapers in English,Radio in English, , , , , , , , ,Very easy,I have signed a letter about a social or political issue,I have worked on a project or attended a meeting in my neighborhood,"I participated in one or more demonstrations, protests, marches, or rallies","I contacted a public official through a letter, email, phone, or in-person","I attended a PTA meeting, or other volunteer group at my child's school",I have given money to an organization or candidate,I volunterred for an election activity such as a phone bank or registering people to vote, , ,I am registered to vote, , , ,Yes, , ,Very likely,Often,Yes,Graduate or professional degree,We own our home, ,3,Female, ,"More than $150,000","I don't own a car, so I take public transportation", ,Email (non-specific / other)
2274,English,WEB,Mexico,1955,1979,98112,Spanish,Very well,"Jobs with benefits with health care, vacations and sick leave. Many immigrants/refugees are abused by employers even by immigrant/refugee employers. Some parents cannot take care of theirs children.",Jobs/Job search/More jobs available, , ,I can make a big difference,I am very interested,Internet,Ethnic Television,Friends and family,Television in English,Newspapers in English,Radio in English, , , , , , , , ,Somewhat easy,I have signed a letter about a social or political issue,I have worked on a project or attended a meeting in my neighborhood,"I participated in one or more demonstrations, protests, marches, or rallies",I have given money to an organization or candidate, , , , , ,I am registered to vote, , , ,Yes, , ,Very likely,Often,Yes,College degree,We own our home, ,2,Male, ,"$40,891 to $64,999","I own a car, but I usually take public transportation", ,Dont Know/No Idea/I havent/No/NA/Never Heard
2275,English,WEB,France,1983,1999,98112,English,Very well,"Access to the various laws and regulations that affect our daily lives (employment, housing, taxes etc.)", Affordable legal assistance, , ,I can make a small difference,I am very interested,Internet, , , , , , , , , , , , , ,Very easy,I have signed a letter about a social or political issue,I sent a message on Facebook or other social media about a social or political issue,I have given money to an organization or candidate, , , , , , ,I am registered to vote, , , ,No,"I tried to vote, but was told I was not eligible", ,Very likely,Often,Yes,College degree,We rent our home, ,3,Male, ,"$65,000 to $99,999",I usually drive the car that I own, ,Friend or Family member shared survey link
2276,Chinese,PAPER,China,1977,2011,98112,English,Not well,NA, , , ,I can make a moderate difference,I am somewhat interested,Internet,Ethnic newspapers,Library, , , , , , , , , , , ,Somewhat easy, , , , , , , , , ,I am not currently eligible to register to vote, ,I don't know how/where to register/it's too complicated, ,No,I was not registered, ,Somewhat likely,Never, ,Some college,We live with relatives or friends, ,8,Female, ,"$11,880 or less",I usually drive the car that I own, , 
2277,Spanish,PAPER,Honduras,1972,NA/Refused,98112,Spanish,Not well,na, , , ,I can make a moderate difference,I am very interested,Ethnic Television, , , , , , , , , , , , , ,Somewhat easy,I have worked on a project or attended a meeting in my neighborhood,"I participated in one or more demonstrations, protests, marches, or rallies", , , , , , , ,I am not currently eligible to register to vote, ,Not a citizen yet/Not qualified/Greencard holder,I don't have papers, , , ,Somewhat likely, , ,Eighth grade or below,We rent our home, ,6, , ,"$24,301 to $40,890",I usually drive the car that I own, , 
2278,English,PAPER,Mexico,1973,1997,98112,Spanish,Well,"""School, communication with parents""", Education/General educational resources, , ,I can make a moderate difference,I am very interested,My union or work place, , , , , , , , , , , , , ,It is difficult,I have signed a letter about a social or political issue,"I participated in one or more demonstrations, protests, marches, or rallies","I attended a PTA meeting, or other volunteer group at my child's school", , , , , , ,I am not currently eligible to register to vote, , , , , , ,Not likely at all, , ,Some college,We own our home, ,4,Male, ,"$24,301 to $40,890", , , 
2279,English,PAPER,Kenya,1998,2014,98112,Somalian,Well,future, Other, , ,I can make no difference at all, ,Internet,Television in English,Newspapers in English,Radio in English, , , , , , , , , , ,Somewhat easy, , , , , , , , , ,I am eligible to register but have not registered yet, ,Other:,was not here,No,I was out of town, , , , , , , , , , , , , , 
2280,English,PAPER,Vietnam,1938,1997,98112,Other,Not well,language, Language help/Language specific education, , , ,I am somewhat interested,My community organization(s)/service provider(s), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Male, ,"$11,880 or less", , , 
2449,Vietnamese,PAPER,Vietnam,1968,1999,98118,Vietnamese,Not at all,na, , , ,I can make a small difference,I am very interested,Ethnic Television,Ethnic newspapers,Ethinic radio,My community organization(s)/service provider(s), , , , , , , , , , ,Very easy, , , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely, , ,Some high school,We rent our home, ,9, , ,"$11,880 or less",I usually drive the car that I own, ,Sonny sewing
2281,English,PAPER,Somalia,1991,1996,98113,Somalian,Very well,Youth employment, Help the youth/youth services, , ,I can make no difference at all,I am somewhat interested,Internet,Ethnic Television, , , , , , , , , , , , ,It is difficult,I have signed a letter about a social or political issue, , , , , , , , ,I am not currently eligible to register to vote, ,I don't know how/where to register/it's too complicated, ,No,I was not registered, ,Very likely, , ,College degree,We own our home, ,3,Male, ,"$11,880 or less",I usually drive the car that I own, , 
2282,Vietnamese,PAPER,Vietnam,1992,1999,98114,Vietnamese,Well,na, , , ,I can make a small difference,I am very interested,Ethnic Television,Ethnic newspapers,Ethinic radio,My community organization(s)/service provider(s), , , , , , , , , , ,Very easy, , , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely, , ,Some high school, , ,9,Male, , ,I usually drive the car that I own, ,Sonny sewing
2283,Vietnamese,PAPER,Vietnam,1938,1990,98114,Vietnamese,Well,na, , , ,I can make a small difference,I am very interested,Ethnic Television,Ethnic newspapers,Ethinic radio,My community organization(s)/service provider(s), , , , , , , , , , ,Very easy, , , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely, , ,Some high school, , ,9,Male, , ,I usually drive the car that I own, ,Sonny sewing
2284,English,PAPER,Jordan,1982,1990,98114,English,Very well,"""Housing, transportation, lack of access to jobs & mobility""",Affordable housing/Low income housing,General increase in public services/Increased access to information,Jobs/Job search/More jobs available,I can make a big difference,I am very interested,Internet,Friends and family,Television in English,My union or work place,My community organization(s)/service provider(s), , , , , , , , , ,Very easy,I have signed a letter about a social or political issue,I attended a government or school board meeting in my city,I have worked on a project or attended a meeting in my neighborhood,"I participated in one or more demonstrations, protests, marches, or rallies","I contacted a public official through a letter, email, phone, or in-person",I sent a message on Facebook or other social media about a social or political issue,I have given money to an organization or candidate,I volunterred for an election activity such as a phone bank or registering people to vote, ,I am registered to vote, , , ,Yes, , ,Very likely,Often, ,Graduate or professional degree,We own our home, ,3,Female, ,"$65,000 to $99,999",I usually drive the car that I own, ,Iraqi Community
2285,English,PAPER,Guatemala,1994,2006,98114,English,Very well,stopping deportations, Deportation, , ,I can make a big difference,I am not interested,Internet, , , , , , , , , , , , ,facebook,Very easy,I have signed a letter about a social or political issue,I attended a government or school board meeting in my city,I have worked on a project or attended a meeting in my neighborhood,"I participated in one or more demonstrations, protests, marches, or rallies",I sent a message on Facebook or other social media about a social or political issue,"I attended a PTA meeting, or other volunteer group at my child's school", , , ,I am not currently eligible to register to vote, , , , ,I was not registered, ,Not likely at all,Never, ,College degree,We rent our home, ,4,Female, ,"$24,301 to $40,890",I usually drive the car that I own, ,Alia Marsha/Alia M
2286,English,WEB,Ethiopia,1981,2014,98114,English,Very well,Housing.,Affordable housing/Low income housing, , ,I can make no difference at all,I am very interested,Internet, , , , , , , , , , , , , ,It is difficult,I have signed a letter about a social or political issue,I attended a government or school board meeting in my city,I have worked on a project or attended a meeting in my neighborhood,"I participated in one or more demonstrations, protests, marches, or rallies",I sent a message on Facebook or other social media about a social or political issue, , , , ,I am not currently eligible to register to vote, , , ,No,I was not registered, ,Not likely at all,Never,I don't remember,Graduate or professional degree,Other:,Other,10,Male, ,I don't know,"I don't own a car, so I take public transportation", , 
2287,English,WEB,Phillipines,1987,2013,98114,English,Well,Slow process..,Difficulty in legal residence/Greencard issue/Obtaining citizenship/Immigration, , ,I can make a big difference,I am very interested,My community organization(s)/service provider(s), , , , , , , , , , , , , ,Somewhat easy, , , , , , , , , ,I am not currently eligible to register to vote, , , ,No,I was not registered, ,Somewhat likely,Never,I don't remember,College degree,We live with relatives or friends, ,2,Female, ,"$11,880 or less","I don't own a car, so I take public transportation", ,Social Media / Facebook / Online meet up groups / All online social media sites
